,new_house_price,Is_samambaia_norte,n_rooms,has_condominium,value_condominium,has_parking,n_parking,house_size,house_hyperlink
55,310000.0,1,3,0,0.0,1,1,120.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-casa-samambaia-norte-quadra-202-1118417822
56,479000.0,1,3,1,0.0,1,2,230.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-a-venda-samambaia-norte-qr-410-esquina-1118417501
57,240000.0,1,2,0,0.0,1,3,128.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-a-venda-na-samambaia-norte-com-2-quartos-aceita-financiamento-1118411752
58,240000.0,1,2,1,0.0,1,3,128.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-a-venda-em-samambaia-norte-qr-223-1118398737
59,49000.0,0,1,1,245.0,0,0,36.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-em-samambaia-sul-na-307-com-quintal-1117227614
60,40000.0,1,2,0,0.0,1,1,0.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-casa-na-samambaia-1118123853
61,350000.0,1,4,1,0.0,1,2,100.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/sobrado-a-venda-na-samambaia-norte-brasilia-df-1068627061
62,315000.0,1,3,1,0.0,1,3,120.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-para-venda-em-samambaia-com-3-quartos-sendo-uma-suite-otima-vizinhanca-brasilia-d-1046341980
63,429000.0,1,2,1,0.0,1,1,105.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-samambaia-alto-padrao-1076018676
64,40000.0,1,2,0,0.0,0,0,0.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-na-samambaia-1118021013
65,215000.0,0,2,1,0.0,1,1,54.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/grande-lancamento-em-samambaia-sul-1036010656
66,135000.0,0,2,1,260.0,0,0,47.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-na-samambaia-sul-qn-106-residencial-par-1-aceita-financiamento-1090483751
67,180000.0,0,2,0,0.0,1,1,80.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-samambaia-sul-1117935410
68,1.0,0,2,1,1.0,1,1,54.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apartamentos-em-samambaia-sul-1117870403
69,40000.0,0,1,1,145.0,1,1,30.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-samambaia-sul-1117852227
70,90000.0,1,1,1,0.0,0,0,120.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vende-se-excelente-terreno-em-samambaia-norte-df-1025215019
71,190000.0,1,4,1,0.0,0,0,150.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-para-venda-samambaia-norte-brasilia-df-998052417
72,450000.0,0,5,1,0.0,1,1,180.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/sobrado-a-venda-em-samambaia-1113024567
73,250000.0,0,2,1,0.0,1,1,55.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-a-venda-samambaia-norte-qs-502-1061024212
74,810000.0,0,3,1,0.0,1,3,120.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/excelente-oportunidade-de-casa-na-samambaia-sul-qr-122-1011407351
75,345000.0,1,3,1,0.0,0,0,120.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/linda-casa-samambaia-norte-1087630947
76,248000.0,0,2,1,0.0,1,1,42.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-venda-em-samambaia-samambaia-sul-2-dormitorios-1-banheiro-1-vaga-1097029890
77,395000.0,1,5,1,0.0,1,2,300.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-a-venda-na-samambaia-3-casas-distintas-separadas-em-um-lote-1049983659
78,205000.0,0,1,1,330.0,1,1,36.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-venda-em-samambaia-samambaia-sul-1-dormitorio-1-banheiro-1-vaga-1097030538
79,140000.0,1,1,1,380.0,0,0,35.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/excelente-apartamento-na-samambaia-norte-1108793748
80,430000.0,0,4,0,0.0,1,3,164.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/sobrado-samambaia-sul-1117329501
81,175000.0,0,2,1,0.0,1,2,193.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/lote-samambaia-sul-1117279607
82,139000.0,1,3,0,0.0,1,1,140.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-a-venda-em-samambaia-norte-qr-605-escriturado-1117249008
83,320000.0,0,2,0,0.0,1,1,65.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-samambaia-via-solare-1117242530
84,299000.0,1,2,0,0.0,1,2,115.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-samambaia-2qts-suite-laje-financia-1117240045
85,272000.0,0,2,1,0.0,1,1,54.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-venda-em-samambaia-samambaia-sul-2-dormitorios-1-suite-2-banheiros-1-1097030766
86,479000.0,1,3,1,0.0,1,3,230.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-para-venda-em-samambaia-samambaia-norte-3-dormitorios-1-suite-1-banheiro-3-vagas-1097030588
87,235000.0,0,2,1,0.0,1,1,48.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-venda-em-samambaia-samambaia-sul-2-dormitorios-1-banheiro-1-vaga-1097032244
88,150000.0,0,3,1,0.0,1,2,120.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-para-venda-samambaia-sul-qr-521-1073037945
89,147000.0,1,4,1,0.0,1,3,105.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-samambaia-1018980274
90,300000.0,0,3,1,0.0,1,3,130.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/otima-casa-na-samambaia-3-quartos-sendo-uma-suite-estuda-troca-permuta-1018979547
91,209000.0,0,2,1,0.0,1,1,44.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/pronto-para-morar-samambaia-sul-ate-100-financiado-1083744972
92,290000.0,0,4,1,0.0,1,4,250.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/sobrado-para-venda-em-samambaia-samambaia-sul-4-dormitorios-1-suite-3-banheiros-4-vag-1097030827
93,165000.0,1,1,1,297.0,1,1,32.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/excelente-apartamento-a-venda-em-samambaia-norte-1045311608
94,200000.0,0,3,0,0.0,0,0,0.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-casa-na-samambaia-parcelo-1116956864
95,300000.0,1,3,1,0.0,1,2,150.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-a-venda-em-samambaia-3-quartos-no-centro-da-cidade-perto-do-metro-e-comercios-1018976653
96,200000.0,1,3,0,0.0,0,0,0.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-a-venda-samambaia-norte-parcelo-1116924938
97,190000.0,1,2,1,0.0,1,1,61.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-na-samambaia-residencial-porto-bello-1111523384
98,700000.0,0,5,1,0.0,0,0,310.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/venda-sobrado-samambaia-sul-samambaia-1049804036
99,460000.0,1,2,1,0.0,1,3,125.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-em-samambaia-qr-212-2-quartos-aceita-financiamento-1116746571
100,299000.0,1,2,0,0.0,1,2,115.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/excelente-casa-samambaia-norte-1116740535
101,250000.0,0,5,0,0.0,1,2,250.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-casa-em-samambaia-sul-df-1116736021
