,house_price,house_region,n_bedrooms,has_condominium,value_condominium,has_garage,n_garage,house_size,house_hyperlink,house_category,n_bathrooms,zip_code,street_address,metro_distance,latitude,longitude,all_together
1202,39900.0,Sul,2,Sem condomínio,0.0,Sem garagem,0,47.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-otimo-apartamento-qr-108-samambaia-proximo-estacao-do-metro-1113901540,Apartamentos,1,72302251.0,QN 108 Conjunto 1,3,-15.870769824111989, -48.077487324960856,QR 108- Samambaia Sul- Apartamentos
254,479000.0,Norte,3,Com condomínio,0.0,Com garagem,3,230.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-a-venda-samambaia-norte-qr-410-esquina-1105352541,,,,,3,,,
1043,195000.0,Norte,2,Sem condomínio,0.0,Com garagem,1,48.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apartamento-2-quartos-vaga-de-garagem-andar-alto-em-samambaia-norte-1115607173,Apartamentos,1,72318580.0,QN 408,3,-15.862810942571167, -48.079925793846854,QR 408- Samambaia Norte- Apartamentos
1400,180000.0,Norte,4,Com condomínio,0.0,Com garagem,2,120.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-quitada-na-413-de-samambaia-1038341357,Casas,3,72321300.0,QR 413,3,-15.879102834660232, -48.11158794203517,QR 413- Samambaia Norte- Casas
1081,549855.0,Sul,3,Com condomínio,0.0,Com garagem,2,150.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/terrea-para-venda-com-150-metros-quadrados-com-3-quartos-em-samambaia-sul-brasilia-df-1108149995,,,,,3,,,
1433,320000.0,Norte,2,Sem condomínio,0.0,Com garagem,2,105.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/linda-casa-qr-601-conjunto-11-samambaia-norte-1109587656,Casas,2,72331011.0,QR 601 Conjunto 11,3,-15.864344277991682, -48.09651061152601,QR 601- Samambaia Norte- Casas
562,470000.0,Norte,5,Com condomínio,0.0,Com garagem,5,200.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/sobrado-para-venda-com-200-m-com-5-quartos-lote-de-esquina-em-samambaia-norte-brasilia-1103748265,Casas,5 ou mais,72316002.0,QR 206 Conjunto 2,1,-15.868219059688109, -48.08074115350348,QR 206- Samambaia Norte- Casas
230,280000.0,Norte,3,Com condomínio,0.0,Com garagem,3,100.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-casa-samambaia-norte-com-3-quartos-1107225778,,,,,3,,,
573,278885.0,Norte,2,Com condomínio,0.0,Com garagem,1,49.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-venda-com-49-metros-quadrados-com-2-quartos-em-samambaia-norte-brasilia-1118531281,Apartamentos,1,72316300.0,QR 212,1,-15.86377344649297, -48.07199773554532,QR 212- Samambaia Norte- Apartamentos
2232,249900.0,Sul,2,Com condomínio,0.0,Com garagem,2,120.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/atencao-urgente-excelente-casa-na-qr-122-escriturada-ac-financiamento-confira-1115853630,,,,,3,,,
