,house_category,n_bathrooms,CEP,Logradouro
219,Casas,1,72325580,QS 423
220,Casas,2,72308316,QR 314 Conjunto 14
221,Casas,2,72306806,QR 310 Conjunto 5-A
222,Casas,1,72322025,EQ 602/402
223,Apartamentos,2,72318230,QR 406 Conjunto 28
224,,,,
225,Apartamentos,1,72302510,QS 106
226,Casas,1,72339014,QS 1029
227,,,,
228,,,,
229,,,,
230,,,,
231,,,,
232,,,,
233,Apartamentos,1,72322700,QR 614
234,Casas,,72307608,QR 315 Conjunto 8
235,Casas,1,72316027,QR 206 Conjunto 27
236,Apartamentos,1,72302700,QR 116
237,Casas,1,72331017,QR 601 Conjunto 17
238,Apartamentos,,72302051,QN 104 Conjunto 1
239,Apartamentos,1,72313203,
240,Casas,1,72316215,QR 210 Conjunto 14
241,Casas,2,72323002,QR 415 Conjunto 2
242,,,,
243,,,,
244,,,,
245,,,,
246,,,,
247,Casas,2,72341102,QR 203 Conjunto 2
248,Casas,1,72322201,QR 606 Conjunto 1
249,,,,
250,,,,
251,Casas,4,72319214,QR 405 Conjunto 14
252,Casas,2,72322204,QR 606 Conjunto 4
253,Casas,2,72331017,QR 601 Conjunto 17
254,,,,
255,,,,
256,,,,
257,,,,
258,,,,
259,Casas,2,72331801,QR 615 Conjunto 1
260,,,,
261,,,,
262,,,,
263,Casas,2,72322015,QR 602 Conjunto 15
264,Casas,2,72314712,ADE Conjunto 12
265,Apartamentos,1,72305011,QN 303 Conjunto 11
266,Casas,1,72318230,QR 406 Conjunto 28
267,,,,
268,Casas,5 ou mais,72320400,QR 420
269,,,,
270,,,,
271,,,,
272,Casas,,72315100,QR 515
273,Casas,2,72311617,QR 503 Conjunto 15
274,Apartamentos,2,72322546,QS 608 Conjunto F Comércio
275,Casas,2,72322100,QR 604
276,Casas,2,72308315,QR 314 Conjunto 13
277,Casas,1,72345200,QR 223
278,Apartamentos,2,72300533,Quadra 301 Conjunto 2
279,Casas,1,72325200,QR 423
280,Casas,2,72300503,Quadra 101 Conjunto 2
281,Casas,4,72338758,QR 833 Conjunto 8
282,Apartamentos,1,72305305,QR 305 Conjunto 5
283,Casas,3,72322101,QR 604 Conjunto 1
284,Casas,2,72315015,QR 513 Conjunto 15
285,Casas,2,72310420,QR 502 Conjunto 20
286,Casas,3,72323015,QR 415 Conjunto 15
287,Casas,1,72306301,QR 306 Conjunto 1
288,Casas,3,72318205,QR 406 Conjunto 5
289,Apartamentos,2,72308007,QN 312 Conjunto 7
290,Casas,3,72316103,QR 208 Conjunto 3
291,Casas,4,72321300,QR 413
292,Casas,4,72321300,QR 413
293,Casas,1,72314306,QR 516 Conjunto 6
294,Casas,3,72331202,QR 605 Conjunto 2
295,Casas,2,72303101,QR 125 Conjunto 1
296,Apartamentos,2,72320300,QI 416
297,Casas,1,72320203,QR 414 Conjunto 3
298,Casas,2,72331105,QR 603 Conjunto 5
299,Casas,1,72339117,QR 827 Conjunto 2
300,Casas,5 ou mais,72325580,QS 423
301,Casas,2,72341251,QN 205 Conjunto 1
302,Casas,2,72305801,QR 309 Conjunto 1
303,Apartamentos,1,72300647,Quadra 302 Conjunto 9
304,Casas,,72314701,ADE Conjunto 1
305,Casas,2,72331108,QR 603 Conjunto 8
306,Casas,1,72312602,QR 510 Conjunto 2
307,Casas,2,72333405,QR 625 Conjunto 4
308,Casas,4,72333300,QR 623
309,Casas,4,72312106,QR 506 Conjunto 6
310,,,,
311,Casas,3,72331801,QR 615 Conjunto 1
312,Apartamentos,1,72300639,Quadra 302 Conjunto 5
313,Casas,1,72335000,QR 629
314,Apartamentos,2,72318590,QS 408
315,Casas,1,72335000,QR 629
316,Casas,2,72310400,QR 502
317,Casas,2,72321200,QR 411
318,Apartamentos,1,72318545,QN 404 Conjunto E Comércio
319,Casas,1,72310417,
320,Apartamentos,1,72302318,QR 110 Conjunto 18
321,Casas,2,72306600,QR 308
322,Casas,1,72318592,QS 408 Conjunto B Comércio
323,Casas,3,72315308,QR 519 Conjunto 8
324,Casas,2,72311302,QR 501 Conjunto 2
325,Casas,1,72318002,QR 402 Conjunto 2
326,Casas,5 ou mais,72318116,QR 404 Conjunto 14
327,Apartamentos,,72313004,QN 507 Conjunto 4
328,Casas,2,72312600,QR 510
329,Casas,3,72318114,QR 404 Conjunto 13
330,Casas,2,72307310,QR 313 Conjunto 10
331,Apartamentos,1,72325552,QS 421 Conjunto B Comércio
332,Apartamentos,2,72322572,QN 614 Conjunto B
333,Casas,2,72319010,QR 401 Conjunto 10
334,Casas,1,72316504,QN 206 Conjunto D Comércio
335,Casas,4,72321314,QR 413 Conjunto 12
336,Casas,2,72329017,QR 429 Conjunto 17
337,Casas,2,72301707,QR 115 Conjunto 7
338,Casas,2,72305810,QR 309 Conjunto 9
339,,,,
340,,,,
341,Apartamentos,1,72321535,QS 409 Conjunto E Comércio
342,Apartamentos,2,72318300,QR 408
343,Casas,1,72327006,QR 425 Conjunto 6
344,Apartamentos,1,72310000,QN 320
345,Apartamentos,3,72318230,QR 406 Conjunto 28
346,Apartamentos,2,72320540,QN 412
347,Apartamentos,1,72302151,QN 106 Conjunto 1
348,Apartamentos,2,72322570,QN 614
349,Apartamentos,2,72318210,QR 406 Conjunto 9-A
350,Apartamentos,1,72308100,QR 312
351,Apartamentos,1,72305811,QR 309 Conjunto 10
352,Casas,2,72311802,QR 505 Conjunto 2
353,Casas,1,72331600,QR 611
354,Casas,4,72335100,QR 631
355,Casas,1,72318118,QR 404 Conjunto 16
356,Casas,2,72329120,QR 431 Conjunto 18
357,Apartamentos,2,72304053,QN 120 Conjunto 3
358,Apartamentos,1,72309300,QR 321
359,Casas,1,72318031,QR 402 Conjunto 30
360,Casas,1,72316300,QR 212
361,Apartamentos,2,72301560,QS 113
362,Casas,2,72310520,QS 502
363,Casas,1,72320000,QR 410
364,,,,
365,Apartamentos,2,72300543,Quadra 301 Conjunto 7
366,Apartamentos,2,72320528,QS 410 Conjunto H Comércio
367,Casas,1,72660306,Quadra 511 Conjunto 2
368,Apartamentos,1,72311500,QS 501
369,Casas,2,72331802,QR 615 Conjunto 2
370,Casas,1,72331814,QR 615 Conjunto 12
371,Casas,2,72322204,QR 606 Conjunto 4
372,Casas,3,72302300,QR 110
373,Casas,1,72322606,QR 612 Conjunto 6
374,Casas,1,72320009,QR 410 Conjunto 8
375,Casas,3,72320203,QR 414 Conjunto 3
376,Apartamentos,1,72306521,QS 308 Conjunto 1 Comércio
377,Apartamentos,1,72319524,QS 401 Conjunto D Comércio
378,Casas,1,72331100,QR 603
379,Apartamentos,1,72320326,QI 416 Conjunto P
380,,,,
381,,,,
382,Casas,3,72323115,QR 417 Conjunto 15
383,Casas,4,72312302,QR 508 Conjunto 2
384,Apartamentos,1,72305540,QS 309 Conjunto 10 Comércio
385,Apartamentos,1,72321535,QS 409 Conjunto E Comércio
386,Apartamentos,2,72320217,QR 414 Conjunto 12-A
387,Casas,2,72310406,QR 502 Conjunto 6
388,Apartamentos,1,72318206,QR 406 Conjunto 6
389,Casas,3,72318200,QR 406
